,Feature,Coefficient
14,PAY_0,0.528045034659692
4,BILL_AMT3,0.14484757624028424
3,BILL_AMT2,0.11132107428346746
20,EDUCATION,0.0740646874976491
1,AGE,0.07340352229322276
16,PAY_3,0.06870307823375069
15,PAY_2,0.06538723811297456
5,BILL_AMT4,0.049149450353929564
21,MARRIAGE_1,0.04822825996462059
18,PAY_5,0.0342673421140086
17,PAY_4,0.016021977881908518
7,BILL_AMT6,0.0017330970476090494
19,PAY_6,-0.01515997018122174
6,BILL_AMT5,-0.027346392515615704
13,PAY_AMT6,-0.029443263953372396
11,PAY_AMT4,-0.03780335318686663
12,PAY_AMT5,-0.037880596997351905
22,MARRIAGE_2,-0.09721381998649359
10,PAY_AMT3,-0.09730259941289737
24,SEX_2,-0.10295603769303402
0,LIMIT_BAL,-0.10827664900973887
23,MARRIAGE_3,-0.16466162438259993
8,PAY_AMT1,-0.1881360682896873
9,PAY_AMT2,-0.20463095893322855
2,BILL_AMT1,-0.36345754821400683
