,Decision Tree,KNN,RBF SVM,Logistic Regression,Ridge_cla,RandomForest_cla
,mean,mean,mean,mean,mean,mean
fit_time,0.27004404067993165,0.009071969985961914,4.77922739982605,0.06861615180969238,0.013724851608276366,3.327504777908325
score_time,0.006389999389648437,0.11800618171691894,1.2487983703613281,0.00630497932434082,0.006601572036743164,0.06873793601989746
test_accuracy,0.7232500000000001,0.7923333333333333,0.8193333333333334,0.8097083333333334,0.79825,0.8170416666666667
train_accuracy,0.9995729166666667,0.84215625,0.8239687499999999,0.81075,0.7985729166666667,0.9995520833333333
test_precision,0.3840943775730978,0.5477825797690299,0.6845087633116009,0.7113308805207856,0.7217178608444794,0.6507903666991034
train_precision,0.9999058047791015,0.7227478394612367,0.7041244915575855,0.7163649282884277,0.7235853683401976,0.9995763154614206
test_recall,0.41290379052051573,0.35797519433579245,0.34179651857772375,0.23758585079820907,0.14522047121566853,0.3756581599813268
train_recall,0.9981659230527109,0.4662808323669044,0.35407279328475794,0.24101767354082856,0.14663283446204428,0.9984010511975498
test_f1,0.397949665503042,0.4329680858647308,0.4558334550140408,0.35606733190387596,0.24170011546554276,0.47621432061880825
train_f1,0.999035091981255,0.5668360075592715,0.47117653689664996,0.3606662782287607,0.24382787259007282,0.9989883099815279
